nr,archived_at,player_id,player,position,team,market_value,season_points,matchday_points,avg_matchday_points,matchday_points_per_mio,season_seconds,matchday_seconds,prob,status,acquired,purchase_price,owner,final
1,2026-09-02T08:49:13+02:00,3102,Rothe,ABW,Union Berlin,10185766,78,78,78.0,7.7,5905,5905,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,1580,Schwäbe,TW,Köln,15508005,176,176,176.0,11.3,5753,5753,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,4199,García,MF,Leverkusen,39229816,98,98,,2.5,5771,5771,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,2522,Raum,ABW,Leipzig,34711284,149,149,,4.3,5907,5907,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,608,Füllkrug,ST,Bremen,12898160,-46,-46,,-3.6,4185,4185,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,2560,Sander,MF,M'gladbach,12378696,12,12,12.0,1.0,5845,5845,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,3470,Caci,ABW,Mainz,11884378,124,124,,10.4,4649,4649,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,3183,Kade,ST,Augsburg,13644123,273,273,,20.0,5649,5649,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,4596,Gruda,MF,Leipzig,21422819,128,128,,6.0,4446,4446,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,10106,Ljubicic,ST,Union Berlin,5351590,23,23,23.0,4.3,5499,5499,3,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,11958,Castro-Montes,MF,Köln,9738863,63,63,63.0,6.5,5661,5661,1,fit,zugelost_oder_uebernommen,,,
1,2026-09-02T08:49:13+02:00,2302,Jeong,MF,Union Berlin,4785021,61,61,61.0,12.7,1938,1938,3,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,4199,García,MF,Leverkusen,38752933,329,231,,6.0,11543,5772,1,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,2522,Raum,ABW,Leipzig,34847486,255,106,,3.0,11814,5907,1,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,608,Füllkrug,ST,Bremen,12709523,91,137,,10.8,8371,4186,1,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,3470,Caci,ABW,Mainz,12542263,216,92,,7.3,9298,4649,1,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,3183,Kade,ST,Augsburg,14219832,273,0,,0.0,5649,0,3,angeschlagen,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,4596,Gruda,MF,Leipzig,21719677,128,0,,0.0,4446,0,3,angeschlagen,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,3019,Atubolu,TW,Frankfurt,13042735,166,36,83.0,2.8,11823,5912,1,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,17288,Regeer,MF,Bremen,6239298,130,130,65.0,20.8,5157,5157,2,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,2232,Mwene,ABW,Mainz,10907942,373,302,186.5,27.7,11355,5678,1,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,2141,Baku,ABW,Leipzig,20252336,471,238,235.5,11.8,10421,5211,2,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,8292,Castañeda,MF,Paderborn,9406105,171,70,85.5,7.4,11454,5727,1,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,6209,Treu,ABW,Freiburg,10041813,172,141,86.0,14.0,7208,3604,2,fit,zugelost_oder_uebernommen,,,
2,2026-09-07T23:27:17+02:00,78,Hofmann,MF,Leverkusen,3701596,43,0,21.5,0.0,1881,0,5,fit,,,,
1,2026-09-02T08:49:13+02:00,10004,Ebnoutalib,ST,Frankfurt,14901023,304,304,304.0,20.4,5605,5605,1,fit,,,,
2,2026-09-07T23:27:17+02:00,10004,Ebnoutalib,ST,Frankfurt,14901023,442,138,221.0,9.3,11211,5606,1,fit,,,,
1,2026-09-02T08:49:13+02:00,10024,Schmied,ABW,Köln,1359195,20,20,20.0,14.7,185,185,4,fit,,,,
2,2026-09-07T23:27:17+02:00,10024,Schmied,ABW,Köln,1359195,20,0,10.0,0.0,185,0,4,fit,,,,
1,2026-09-02T08:49:13+02:00,10048,Duric,MF,Paderborn,1898722,0,0,0.0,0.0,0,0,5,fit,,,,
2,2026-09-07T23:27:17+02:00,10048,Duric,MF,Paderborn,1898722,0,0,0.0,0.0,0,0,5,fit,,,,
1,2026-09-02T08:49:13+02:00,10049,Behrens,ABW,Augsburg,12425973,143,143,143.0,11.5,5655,5655,1,fit,,,,
2,2026-09-07T23:27:17+02:00,10049,Behrens,ABW,Augsburg,12425973,242,99,121.0,8.0,11311,5656,1,fit,,,,
2,2026-09-07T23:27:17+02:00,10106,Ljubičić,ST,Union Berlin,4716011,14,-9,7.0,-1.9,10999,5500,2,fit,,,,
1,2026-09-02T08:49:13+02:00,10112,Jaquez,ABW,Stuttgart,1810705,0,0,0.0,0.0,0,0,5,angeschlagen,,,,
2,2026-09-07T23:27:17+02:00,10112,Jaquez,ABW,Stuttgart,1810705,0,0,0.0,0.0,0,0,5,angeschlagen,,,,
1,2026-09-02T08:49:13+02:00,10113,Gomis,ST,Leipzig,9467127,176,176,176.0,18.6,2977,2977,3,fit,,,,
2,2026-09-07T23:27:17+02:00,10113,Gomis,ST,Leipzig,9467127,186,10,93.0,1.1,5954,2977,3,fit,,,,
1,2026-09-02T08:49:13+02:00,10114,Chukwuemeka,MF,Dortmund,3203267,0,0,0.0,0.0,0,0,4,fit,,,,
2,2026-09-07T23:27:17+02:00,10114,Chukwuemeka,MF,Dortmund,3203267,0,0,0.0,0.0,0,0,4,fit,,,,
1,2026-09-02T08:49:13+02:00,10115,Svensson,ABW,Dortmund,18911162,163,163,163.0,8.6,5878,5878,1,fit,,,,
2,2026-09-07T23:27:17+02:00,10115,Svensson,ABW,Dortmund,18911162,286,123,143.0,6.5,11756,5878,1,fit,,,,
1,2026-09-02T08:49:13+02:00,1012,Džeko,ST,Schalke,6966468,-30,-30,-30.0,-4.3,1052,1052,5,fit,,,,
2,2026-09-07T23:27:17+02:00,1012,Džeko,ST,Schalke,6966468,-30,0,-15.0,0.0,1052,0,5,fit,,,,
1,2026-09-02T08:49:13+02:00,10120,Røssing-Lelesiit,ST,Hamburg,1309787,0,0,0.0,0.0,0,0,5,Aufbautraining,,,,
